NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
8,10,15,119.81,61.76,2055.32,17.63,5.25,14.62
12,20,6,298.28,39.06,3236.27,17.56,3.32,10.35
8,40,7,255.29,42.19,2991.85,17.53,3.58,10.94
5,20,16,111.67,63.78,1978.62,17.53,5.42,15.0
12,40,4,443.17,31.89,3925.96,17.39,2.71,9.0
8,30,8,220.9,45.1,2767.56,17.34,3.83,11.49
10,20,7,250.55,42.19,2936.19,17.2,3.58,10.94
6,20,13,133.89,57.49,2138.26,17.07,4.88,13.82
12,10,8,215.87,45.1,2704.49,16.94,3.83,11.49
5,40,13,130.6,57.49,2085.75,16.66,4.88,13.82
5,30,13,130.6,57.49,2085.75,16.66,4.88,13.82
6,30,10,169.58,50.43,2375.35,16.64,4.28,12.49
6,40,10,169.58,50.43,2375.35,16.64,4.28,12.49
8,10,14,119.81,59.66,1985.62,16.45,5.07,14.22
5,20,15,111.67,61.76,1915.79,16.43,5.25,14.62
10,10,10,166.66,50.43,2334.42,16.35,4.28,12.49
6,20,12,133.89,55.24,2054.38,15.76,4.69,13.39
8,20,8,199.9,45.1,2504.43,15.69,3.83,11.49
5,30,12,130.6,55.24,2003.92,15.37,4.69,13.39
5,40,12,130.6,55.24,2003.92,15.37,4.69,13.39
12,30,4,391.11,31.89,3464.84,15.35,2.71,9.0
5,20,14,111.67,59.66,1850.83,15.34,5.07,14.22
8,10,13,119.81,57.49,1913.39,15.28,4.88,13.82
8,30,7,220.9,42.19,2588.81,15.17,3.58,10.94
4,30,16,96.45,63.78,1708.93,15.14,5.42,15.0
4,40,16,96.45,63.78,1708.93,15.14,5.42,15.0
8,40,6,255.29,39.06,2769.92,15.03,3.32,10.35
10,30,5,306.08,35.66,3031.61,15.01,3.03,9.71
6,40,9,169.58,47.84,2253.46,14.97,4.06,12.0
6,30,9,169.58,47.84,2253.46,14.97,4.06,12.0
12,10,7,215.87,42.19,2529.82,14.82,3.58,10.94
10,20,6,250.55,39.06,2718.39,14.75,3.32,10.35
10,10,9,166.66,47.84,2214.63,14.71,4.06,12.0
12,20,5,298.28,35.66,2954.3,14.63,3.03,9.71
6,20,11,133.89,52.89,1966.92,14.45,4.49,12.95
5,20,13,111.67,57.49,1783.51,14.24,4.88,13.82
10,40,4,361.75,31.89,3204.72,14.2,2.71,9.0
4,30,15,96.45,61.76,1654.67,14.19,5.25,14.62
4,40,15,96.45,61.76,1654.67,14.19,5.25,14.62
8,10,12,119.81,55.24,1838.33,14.1,4.69,13.39
5,40,11,130.6,52.89,1918.61,14.09,4.49,12.95
5,30,11,130.6,52.89,1918.61,14.09,4.49,12.95
8,20,7,199.9,42.19,2342.68,13.73,3.58,10.94
6,40,8,169.58,45.1,2124.58,13.31,3.83,11.49
6,30,8,169.58,45.1,2124.58,13.31,3.83,11.49
