NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ)
10,40,4,361.75,31.89,3204.72,14.2
4,30,15,96.45,61.76,1654.67,14.19
4,40,15,96.45,61.76,1654.67,14.19
8,10,12,119.81,55.24,1838.33,14.1
5,40,11,130.6,52.89,1918.61,14.09
5,30,11,130.6,52.89,1918.61,14.09
8,20,7,199.9,42.19,2342.68,13.73
6,40,8,169.58,45.1,2124.58,13.31
6,30,8,169.58,45.1,2124.58,13.31
4,40,14,96.45,59.66,1598.56,13.25
4,30,14,96.45,59.66,1598.56,13.25
5,20,12,111.67,55.24,1713.54,13.15
6,20,10,133.89,50.43,1875.38,13.13
10,10,8,166.66,45.1,2087.97,13.08
4,20,16,83.33,63.78,1476.43,13.08
12,40,3,443.17,27.62,3399.98,13.04
6,10,16,82.96,63.78,1469.87,13.02
8,30,6,220.9,39.06,2396.78,13.0
8,10,11,119.81,52.89,1760.07,12.93
5,40,10,130.6,50.43,1829.32,12.81
5,30,10,130.6,50.43,1829.32,12.81
12,10,6,215.87,39.06,2342.16,12.71
8,40,5,255.29,35.66,2528.58,12.52
4,30,13,96.45,57.49,1540.41,12.3
4,40,13,96.45,57.49,1540.41,12.3
10,20,5,250.55,35.66,2481.54,12.29
4,20,15,83.33,61.76,1429.55,12.26
6,10,15,82.96,61.76,1423.2,12.21
5,20,11,111.67,52.89,1640.59,12.05
10,30,4,306.08,31.89,2711.55,12.01
6,20,9,133.89,47.84,1779.14,11.82
8,20,6,199.9,39.06,2168.9,11.77
8,10,10,119.81,50.43,1678.16,11.75
12,20,4,298.28,31.89,2642.4,11.7
6,40,7,169.58,42.19,1987.36,11.65
6,30,7,169.58,42.19,1987.36,11.65
5,40,9,130.6,47.84,1735.45,11.53
5,30,9,130.6,47.84,1735.45,11.53
12,30,3,391.11,27.62,3000.64,11.51
4,20,14,83.33,59.66,1381.08,11.44
10,10,7,166.66,42.19,1953.12,11.44
6,10,14,82.96,59.66,1374.94,11.39
4,40,12,96.45,55.24,1479.98,11.35
4,30,12,96.45,55.24,1479.98,11.35
5,20,10,111.67,50.43,1564.24,10.96
5,10,16,69.38,63.78,1229.2,10.89
8,30,5,220.9,35.66,2187.95,10.84
10,40,3,361.75,27.62,2775.37,10.65
3,40,16,67.76,63.78,1200.52,10.64
3,30,16,67.76,63.78,1200.52,10.64
4,20,13,83.33,57.49,1330.84,10.63
12,10,5,215.87,35.66,2138.09,10.59
6,10,13,82.96,57.49,1324.93,10.58
8,10,9,119.81,47.84,1592.04,10.58
6,20,8,133.89,45.1,1677.39,10.51
4,40,11,96.45,52.89,1416.97,10.41
4,30,11,96.45,52.89,1416.97,10.41
5,40,8,130.6,45.1,1636.2,10.25
5,30,8,130.6,45.1,1636.2,10.25
5,10,15,69.38,61.76,1190.17,10.21
3,20,16,63.94,63.78,1132.83,10.04
8,40,4,255.29,31.89,2261.63,10.02
6,30,6,169.58,39.06,1839.94,9.98
6,40,6,169.58,39.06,1839.94,9.98
3,30,15,67.76,61.76,1162.4,9.97
3,40,15,67.76,61.76,1162.4,9.97
5,20,9,111.67,47.84,1483.97,9.86
10,20,4,250.55,31.89,2219.55,9.83
4,20,12,83.33,55.24,1278.63,9.81
8,20,5,199.9,35.66,1979.92,9.81
10,10,6,166.66,39.06,1808.24,9.81
6,10,12,82.96,55.24,1272.95,9.77
5,10,14,69.38,59.66,1149.81,9.53
4,40,10,96.45,50.43,1351.03,9.46
4,30,10,96.45,50.43,1351.03,9.46
3,20,15,63.94,61.76,1096.85,9.41
8,10,8,119.81,45.1,1500.99,9.4
3,30,14,67.76,59.66,1122.99,9.31
3,40,14,67.76,59.66,1122.99,9.31
6,20,7,133.89,42.19,1569.06,9.19
10,30,3,306.08,27.62,2348.28,9.01
4,20,11,83.33,52.89,1224.19,8.99
5,30,7,130.6,42.19,1530.52,8.97
5,40,7,130.6,42.19,1530.52,8.97
6,10,11,82.96,52.89,1218.75,8.95
5,10,13,69.38,57.49,1107.99,8.85
3,20,14,63.94,59.66,1059.66,8.78
12,20,3,298.28,27.62,2288.39,8.78
5,20,8,111.67,45.1,1399.1,8.76
12,40,2,443.17,22.55,2776.07,8.69
8,30,4,220.9,31.89,1956.96,8.67
3,40,13,67.76,57.49,1082.14,8.64
3,30,13,67.76,57.49,1082.14,8.64
4,30,9,96.45,47.84,1281.7,8.52
4,40,9,96.45,47.84,1281.7,8.52
12,10,4,215.87,31.89,1912.36,8.47
6,30,5,169.58,35.66,1679.63,8.32
6,40,5,169.58,35.66,1679.63,8.32
8,10,7,119.81,42.19,1404.05,8.23
4,20,10,83.33,50.43,1167.22,8.17
5,10,12,69.38,55.24,1064.52,8.17
10,10,5,166.66,35.66,1650.69,8.17
3,20,13,63.94,57.49,1021.11,8.15
6,10,10,82.96,50.43,1162.04,8.14
2-1/2,30,16,51.8,63.78,917.73,8.13
2-1/2,40,16,51.8,63.78,917.73,8.13
