NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ)
1,40,12,15.01,55.24,230.38,1.77
1,30,12,15.01,55.24,230.38,1.77
1-1/4,10,11,16.16,52.89,237.42,1.74
1,10,14,12.55,59.66,208.07,1.72
1-1/4,20,10,17.24,50.43,241.49,1.69
1,20,13,13.09,57.49,209.02,1.67
1-1/2,20,8,21.23,45.1,265.99,1.67
1-1/2,40,7,24.3,42.19,284.74,1.67
1-1/2,30,7,24.3,42.19,284.74,1.67
6,40,1,169.58,15.95,751.15,1.66
6,30,1,169.58,15.95,751.15,1.66
1-1/2,10,9,18.66,47.84,247.98,1.65
6,10,2,82.96,22.55,519.68,1.63
10,10,1,166.66,15.95,738.21,1.63
4,20,2,83.33,22.55,522.0,1.63
1,40,11,15.01,52.89,220.57,1.62
2,10,7,23.58,42.19,276.34,1.62
1,30,11,15.01,52.89,220.57,1.62
1-1/4,40,8,20.35,45.1,255.01,1.6
2,30,5,32.62,35.66,323.14,1.6
1-1/4,30,8,20.35,45.1,255.01,1.6
1,10,13,12.55,57.49,200.5,1.6
2,40,5,32.62,35.66,323.14,1.6
1-1/4,10,10,16.16,50.43,226.37,1.59
2,20,6,26.88,39.06,291.62,1.58
2-1/2,10,5,31.57,35.66,312.67,1.55
1,20,12,13.09,55.24,200.82,1.54
2-1/2,30,3,51.8,27.62,397.39,1.52
1-1/4,20,9,17.24,47.84,229.1,1.52
2-1/2,40,3,51.8,27.62,397.39,1.52
3,10,4,38.74,31.89,343.23,1.52
4,10,3,50.21,27.62,385.2,1.48
1,10,12,12.55,55.24,192.64,1.48
1,40,10,15.01,50.43,210.3,1.47
1,30,10,15.01,50.43,210.3,1.47
1-1/2,10,8,18.66,45.1,233.8,1.46
1-1/2,20,7,21.23,42.19,248.81,1.46
1-1/2,40,6,24.3,39.06,263.62,1.43
1-1/4,10,9,16.16,47.84,214.76,1.43
1-1/2,30,6,24.3,39.06,263.62,1.43
2-1/2,20,3,48.25,27.62,370.19,1.42
1,20,11,13.09,52.89,192.27,1.41
1-1/4,30,7,20.35,42.19,238.54,1.4
1-1/4,40,7,20.35,42.19,238.54,1.4
2,10,6,23.58,39.06,255.84,1.39
5,10,2,69.38,22.55,434.59,1.36
1-1/4,20,8,17.24,45.1,215.99,1.35
1,10,11,12.55,52.89,184.44,1.35
1,30,9,15.01,47.84,199.51,1.33
3,40,2,67.76,22.55,424.45,1.33
1,40,9,15.01,47.84,199.51,1.33
3,30,2,67.76,22.55,424.45,1.33
2,20,5,26.88,35.66,266.21,1.32
6,20,1,133.89,15.95,593.05,1.31
5,40,1,130.6,15.95,578.48,1.28
1-1/2,10,7,18.66,42.19,218.7,1.28
2,40,4,32.62,31.89,289.02,1.28
5,30,1,130.6,15.95,578.48,1.28
1,20,10,13.09,50.43,183.32,1.28
2,30,4,32.62,31.89,289.02,1.28
1-1/4,10,8,16.16,45.1,202.48,1.27
3,20,2,63.94,22.55,400.51,1.25
1-1/2,20,6,21.23,39.06,230.35,1.25
2-1/2,10,4,31.57,31.89,279.66,1.24
1,10,10,12.55,50.43,175.85,1.23
1-1/4,40,6,20.35,39.06,220.84,1.2
1-1/4,30,6,20.35,39.06,220.84,1.2
1-1/2,40,5,24.3,35.66,240.65,1.19
1-1/2,30,5,24.3,35.66,240.65,1.19
8,10,1,119.81,15.95,530.68,1.18
1,40,8,15.01,45.1,188.1,1.18
1,30,8,15.01,45.1,188.1,1.18
1-1/4,20,7,17.24,42.19,202.04,1.18
2,10,5,23.58,35.66,233.55,1.16
1,20,9,13.09,47.84,173.92,1.16
3,10,3,38.74,27.62,297.25,1.14
1,10,9,12.55,47.84,166.83,1.11
1-1/4,10,7,16.16,42.19,189.4,1.11
5,20,1,111.67,15.95,494.66,1.1
1-1/2,10,6,18.66,39.06,202.48,1.1
2,20,4,26.88,31.89,238.1,1.05
1-1/2,20,5,21.23,35.66,210.28,1.04
1,20,8,13.09,45.1,163.97,1.03
1,30,7,15.01,42.19,175.95,1.03
1,40,7,15.01,42.19,175.95,1.03
2-1/2,30,2,51.8,22.55,324.47,1.02
2-1/2,40,2,51.8,22.55,324.47,1.02
1-1/4,20,6,17.24,39.06,187.06,1.01
1-1/4,30,5,20.35,35.66,201.6,1.0
1-1/4,40,5,20.35,35.66,201.6,1.0
1,10,8,12.55,45.1,157.29,0.99
4,10,2,50.21,22.55,314.51,0.99
2,40,3,32.62,27.62,250.3,0.96
2,30,3,32.62,27.62,250.3,0.96
1-1/2,40,4,24.3,31.89,215.24,0.95
4,40,1,96.45,15.95,427.23,0.95
1-1/2,30,4,24.3,31.89,215.24,0.95
4,30,1,96.45,15.95,427.23,0.95
2-1/2,20,2,48.25,22.55,302.26,0.95
1-1/4,10,6,16.16,39.06,175.35,0.95
2-1/2,10,3,31.57,27.62,242.2,0.93
2,10,4,23.58,31.89,208.89,0.93
1-1/2,10,5,18.66,35.66,184.83,0.92
1,20,7,13.09,42.19,153.38,0.9
1,40,6,15.01,39.06,162.9,0.88
1,30,6,15.01,39.06,162.9,0.88
1,10,7,12.55,42.19,147.13,0.86
1-1/4,20,5,17.24,35.66,170.76,0.85
1-1/2,20,4,21.23,31.89,188.08,0.83
4,20,1,83.33,15.95,369.11,0.82
6,10,1,82.96,15.95,367.47,0.81
1-1/4,40,4,20.35,31.89,180.32,0.8
1-1/4,30,4,20.35,31.89,180.32,0.8
1-1/4,10,5,16.16,35.66,160.07,0.79
2,20,3,26.88,27.62,206.2,0.79
1,20,6,13.09,39.06,142.0,0.77
3,10,2,38.74,22.55,242.7,0.76
1,10,6,12.55,39.06,136.21,0.74
1,40,5,15.01,35.66,148.71,0.74
1,30,5,15.01,35.66,148.71,0.74
1-1/2,10,4,18.66,31.89,165.32,0.73
1-1/2,30,3,24.3,27.62,186.41,0.72
1-1/2,40,3,24.3,27.62,186.41,0.72
2,10,3,23.58,27.62,180.91,0.69
5,10,1,69.38,15.95,307.3,0.68
1-1/4,20,4,17.24,31.89,152.73,0.68
3,40,1,67.76,15.95,300.13,0.66
3,30,1,67.76,15.95,300.13,0.66
1,20,5,13.09,35.66,129.63,0.64
2,30,2,32.62,22.55,204.37,0.64
2,40,2,32.62,22.55,204.37,0.64
3,20,1,63.94,15.95,283.21,0.63
1-1/4,10,4,16.16,31.89,143.17,0.63
1,10,5,12.55,35.66,124.35,0.62
2-1/2,10,2,31.57,22.55,197.75,0.62
1-1/2,20,3,21.23,27.62,162.88,0.62
1-1/4,40,3,20.35,27.62,156.16,0.6
1-1/4,30,3,20.35,27.62,156.16,0.6
1,40,4,15.01,31.89,133.01,0.59
1,30,4,15.01,31.89,133.01,0.59
1-1/2,10,3,18.66,27.62,143.17,0.55
2,20,2,26.88,22.55,168.36,0.53
1-1/4,20,3,17.24,27.62,132.27,0.51
2-1/2,40,1,51.8,15.95,229.43,0.51
2-1/2,30,1,51.8,15.95,229.43,0.51
1,20,4,13.09,31.89,115.94,0.51
4,10,1,50.21,15.95,222.39,0.49
1,10,4,12.55,31.89,111.22,0.49
1-1/4,10,3,16.16,27.62,123.99,0.48
1-1/2,30,2,24.3,22.55,152.2,0.48
1-1/2,40,2,24.3,22.55,152.2,0.48
2-1/2,20,1,48.25,15.95,213.73,0.47
2,10,2,23.58,22.55,147.71,0.46
1,40,3,15.01,27.62,115.19,0.44
1,30,3,15.01,27.62,115.19,0.44
1-1/2,20,2,21.23,22.55,132.99,0.42
1-1/4,40,2,20.35,22.55,127.5,0.4
1-1/4,30,2,20.35,22.55,127.5,0.4
1,20,3,13.09,27.62,100.41,0.39
3,10,1,38.74,15.95,171.62,0.38
1,10,3,12.55,27.62,96.32,0.37
1-1/2,10,2,18.66,22.55,116.9,0.37
1-1/4,20,2,17.24,22.55,108.0,0.34
1-1/4,10,2,16.16,22.55,101.24,0.32
2,30,1,32.62,15.95,144.51,0.32
2,40,1,32.62,15.95,144.51,0.32
2-1/2,10,1,31.57,15.95,139.83,0.31
1,30,2,15.01,22.55,94.05,0.29
1,40,2,15.01,22.55,94.05,0.29
2,20,1,26.88,15.95,119.05,0.26
1,20,2,13.09,22.55,81.98,0.26
1,10,2,12.55,22.55,78.64,0.25
1-1/2,30,1,24.3,15.95,107.62,0.24
1-1/2,40,1,24.3,15.95,107.62,0.24
2,10,1,23.58,15.95,104.45,0.23
1-1/2,20,1,21.23,15.95,94.04,0.21
1-1/4,30,1,20.35,15.95,90.16,0.2
1-1/4,40,1,20.35,15.95,90.16,0.2
1-1/2,10,1,18.66,15.95,82.66,0.18
1-1/4,20,1,17.24,15.95,76.37,0.17
1-1/4,10,1,16.16,15.95,71.59,0.16
1,40,1,15.01,15.95,66.5,0.15
1,30,1,15.01,15.95,66.5,0.15
1,20,1,13.09,15.95,57.97,0.13
1,10,1,12.55,15.95,55.61,0.12
