Escenario,Demanda_aire_m3min,Frecuencia_%,Equipos,Q_total_kW,Caudal_m3h,Area_interc_m2,Epsilon,T_hot_out_C,T_cold_out_C,dP_red_mca,Pot_bomba_kW,Autonomia_min
minimo,90,2,1-6,442,15.32,40.50228779366232,0.85,18.35000000000001,44.81719329033464,1.371296411191996,0.20642088320778065,0.7880844645550529
normal_A,130,1,1-2-4,622,21.72,40.50228779366232,0.8499999999999998,18.35000000000001,44.81719329033465,2.6666802070970177,0.4051033087455951,0.560021436227224
normal_B,131,80,1-2-4,622,21.72,40.50228779366232,0.8499999999999998,18.35000000000001,44.81719329033465,2.6666802070970177,0.4051033087455951,0.560021436227224
normal_C,140,1,1-2-4,622,21.72,40.50228779366232,0.8499999999999998,18.35000000000001,44.81719329033465,2.6666802070970177,0.4051033087455951,0.560021436227224
alto_A,150,1,1-2-6,688,23.93,40.50228779366232,0.8500000000000001,18.349999999999994,44.81719329033465,3.2102586167009233,0.4983103498282868,0.5062984496124031
alto_B,174,14,1-2-4-5,752,26.22,40.50228779366232,0.8500000000000001,18.349999999999994,44.81719329033464,3.8254297286115144,0.610461927378495,0.463209219858156
maximo,218,2,1-2-4-5-6,948,32.93,40.50228779366232,0.8500000000000001,18.35,44.81719329033464,5.931327449310982,1.0438438562468901,0.3674402250351617
