Parametro,Valor_base,Unidad,Q_-10%_kW,Q_+10%_kW,Delta_Q_kW,Impacto_relativo_%
T_hot_in_C,60.0,C,27.65420654815619,25.8045386778175,-1.8496678703386884,-0.29737425568146114
T_cold_in_C,11.0,C,26.63921625819195,26.790929560786108,0.15171330259415683,0.024391206204848363
intercambiador.U_global,3000.0,W/m2K,29.682818466050716,24.285942381314218,-5.396876084736498,-0.8676649653917198
